lib,sample_rate,dtype,duration,channels,n_samples,file_size_bytes,load_mean_ms,load_median_ms,load_std_ms,load_min_ms,load_p90_ms,save_mean_ms,save_median_ms,save_std_ms,save_min_ms,save_p90_ms,error
wave,16000,f32,10.0,1,160000,640000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,10.0,1,160000,640000,0.0398,0.0376,0.0163,0.0370,0.0393,0.0319,0.0300,0.0128,0.0293,0.0322,
torchaudio,16000,f32,10.0,1,160000,640000,0.6344,0.4812,0.2898,0.4592,1.1993,0.2833,0.2655,0.0511,0.2599,0.3170,
audio_samples,16000,f32,10.0,2,160000,1280000,0.0470,0.0441,0.0123,0.0432,0.0493,0.0611,0.0552,0.0161,0.0512,0.0758,
librosa,16000,f32,10.0,2,160000,1280000,0.0703,0.0677,0.0210,0.0614,0.0743,1.0348,1.0109,0.0860,0.9639,1.0647,
wave,16000,f32,10.0,2,160000,1280000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,10.0,2,160000,1280000,0.0945,0.0884,0.0237,0.0849,0.1006,0.0623,0.0591,0.0166,0.0584,0.0645,
torchaudio,16000,f32,10.0,2,160000,1280000,0.6519,0.6146,0.1082,0.5716,0.7477,0.3704,0.3494,0.0489,0.3289,0.4241,
audio_samples,16000,f32,30.0,1,480000,1920000,0.0703,0.0638,0.0184,0.0629,0.0760,0.0871,0.0844,0.0169,0.0776,0.0883,
librosa,16000,f32,30.0,1,480000,1920000,0.0928,0.0898,0.0297,0.0795,0.0985,1.5663,1.5063,0.1676,1.4759,1.7181,
wave,16000,f32,30.0,1,480000,1920000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,30.0,1,480000,1920000,0.1406,0.1404,0.0428,0.1235,0.1461,0.0929,0.0883,0.0223,0.0875,0.0970,
torchaudio,16000,f32,30.0,1,480000,1920000,1.1579,1.1374,0.0702,1.1089,1.1953,0.7728,0.7615,0.0425,0.7519,0.7850,
audio_samples,16000,f32,30.0,2,480000,3840000,0.1321,0.1237,0.0331,0.1221,0.1398,0.1764,0.1590,0.0523,0.1550,0.2074,
librosa,16000,f32,30.0,2,480000,3840000,0.1569,0.1421,0.0494,0.1380,0.1785,3.1469,3.0390,0.2649,2.9906,3.4911,
wave,16000,f32,30.0,2,480000,3840000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,30.0,2,480000,3840000,0.2047,0.1880,0.0561,0.1834,0.2320,0.1709,0.1634,0.0378,0.1623,0.1777,
torchaudio,16000,f32,30.0,2,480000,3840000,1.5407,1.4922,0.1450,1.4211,1.6482,1.0330,0.9786,0.1027,0.9492,1.1654,
